;cidade;area;quartos;banheiro;estacionamento;andar;aceita animal?;mobilhado;valor condomínio (R$);valor do aluguel (R$);imposto do imóvel (R$);seguro fiança (R$);total (R$);valores mensais (R$);valores anuais (R$)
7982;São Paulo;55;2;1;1;2;aceita;sem mobilha;280;1000;0;13;1293;1280;15373
7983;São Paulo;132;3;2;1;11;aceita;sem mobilha;1477;2950;45;38;4510;4427;53207
7984;São Paulo;100;2;1;1;-;aceita;sem mobilha;0;2700;98;41;2839;2700;32539
7985;São Paulo;252;3;4;1;-;aceita;sem mobilha;0;12000;1233;181;13410;12000;145414
7986;São Paulo;65;2;1;0;4;aceita;sem mobilha;1261;1450;166;19;2896;2711;32717
7987;São Paulo;20;1;1;0;3;aceita;mobilhado;602;1800;130;23;2555;2402;28977
7988;Campinas;150;3;4;2;9;aceita;sem mobilha;1200;3400;0;44;4644;4600;55244
7989;São Paulo;500;5;5;8;1;aceita;sem mobilha;0;9800;92;148;10040;9800;117840
7990;Porto Alegre;27;1;1;0;8;não aceita;mobilhado;360;1000;13;15;1388;1360;16348
7991;São Paulo;500;3;4;7;-;não aceita;sem mobilha;0;9300;1060;140;10500;9300;112800
7992;São Paulo;40;1;1;0;2;aceita;sem mobilha;250;1020;70;13;1353;1270;15323
7993;Belo Horizonte;45;1;1;1;6;aceita;sem mobilha;808;2900;9;39;3756;3708;44544
7994;Rio de Janeiro;86;2;2;2;3;aceita;mobilhado;585;1500;116;20;2221;2085;25156
7995;São Paulo;200;3;3;0;-;aceita;sem mobilha;0;5000;200;76;5276;5000;60276
7996;Porto Alegre;49;1;1;0;1;aceita;sem mobilha;250;790;21;12;1073;1040;12513
7997;São Paulo;115;2;2;1;2;aceita;sem mobilha;1755;4500;245;58;6558;6255;75363
7998;Belo Horizonte;50;2;1;0;-;não aceita;sem mobilha;0;644;25;9;678;644;7762
7999;São Paulo;20;1;1;0;-;aceita;mobilhado;602;1800;130;23;2555;2402;28977
8000;Campinas;55;2;1;1;10;aceita;sem mobilha;399;900;25;12;1336;1299;15625
8001;Rio de Janeiro;78;2;1;1;6;aceita;sem mobilha;557;1050;84;14;1705;1607;19382
8002;São Paulo;127;4;3;0;11;não aceita;sem mobilha;1154;5300;407;68;6929;6454;77923
8003;São Paulo;450;3;4;2;3;aceita;sem mobilha;4187;15000;1450;191;20830;19187;231885
8004;São Paulo;132;3;1;2;7;não aceita;mobilhado;920;8000;400;102;9422;8920;107542
8005;São Paulo;62;2;2;1;7;aceita;mobilhado;520;3500;59;45;4124;4020;48344
8006;Belo Horizonte;300;5;3;1;-;aceita;sem mobilha;0;3770;167;62;3999;3770;45469
8007;Rio de Janeiro;195;4;1;0;-;aceita;sem mobilha;0;2990;156;46;3192;2990;36082
8008;Campinas;45;2;1;0;2;não aceita;sem mobilha;250;1000;0;13;1263;1250;15013
8009;Rio de Janeiro;52;1;1;0;1;não aceita;mobilhado;850;1850;56;24;2780;2700;32480
8010;São Paulo;46;2;1;1;8;aceita;sem mobilha;589;1100;72;14;1775;1689;20354
8011;Belo Horizonte;179;3;3;0;10;aceita;sem mobilha;1050;2400;203;32;3685;3450;41635
8012;Rio de Janeiro;60;1;1;0;9;aceita;sem mobilha;649;3100;100;40;3889;3749;45128
8013;São Paulo;45;1;1;0;4;aceita;sem mobilha;0;1000;0;13;1367;1000;12013
8014;Belo Horizonte;200;4;3;2;-;aceita;sem mobilha;0;3400;713;56;4169;3400;41569
8015;Rio de Janeiro;15;1;1;0;-;aceita;sem mobilha;0;700;0;10;710;700;8410
8016;Belo Horizonte;30;1;1;0;1;não aceita;sem mobilha;0;650;0;9;659;650;7809
8017;Belo Horizonte;100;3;3;1;3;não aceita;sem mobilha;350;1670;100;23;2143;2020;24363
8018;Rio de Janeiro;120;3;3;0;5;aceita;mobilhado;600;5500;167;71;6338;6100;73438
8019;São Paulo;105;2;3;2;6;aceita;sem mobilha;1850;3200;385;41;5476;5050;61026
8020;São Paulo;97;2;3;2;11;aceita;mobilhado;700;2660;167;34;3561;3360;40521
8021;Rio de Janeiro;140;3;2;1;7;aceita;sem mobilha;1400;4200;250;55;5905;5600;67505
8022;São Paulo;90;3;3;2;1;aceita;sem mobilha;870;2630;417;34;3951;3500;42451
8023;São Paulo;50;1;1;0;7;aceita;sem mobilha;388;2200;0;28;2616;2588;31084
8024;Belo Horizonte;330;5;4;2;-;aceita;sem mobilha;0;8000;267;132;8399;8000;96399
8025;São Paulo;367;3;5;3;10;aceita;mobilhado;3400;6000;1500;77;10980;9400;114377
8026;São Paulo;75;3;2;1;10;aceita;sem mobilha;1000;3900;0;50;4950;4900;58850
8027;Porto Alegre;63;2;1;0;3;aceita;mobilhado;200;1400;53;21;1674;1600;19274
8028;Campinas;72;2;1;2;16;aceita;sem mobilha;730;1200;89;16;2035;1930;23265
8029;Campinas;52;2;1;1;4;aceita;mobilhado;320;1800;70;23;2213;2120;25533
8030;São Paulo;57;2;2;1;10;não aceita;sem mobilha;570;2600;0;33;3203;3170;38073
8031;São Paulo;200;3;3;1;11;não aceita;sem mobilha;3200;3800;834;49;7883;7000;84883
8032;Rio de Janeiro;64;3;2;0;10;aceita;sem mobilha;700;1300;251;17;2268;2000;24268
8033;São Paulo;211;3;2;2;6;aceita;sem mobilha;2800;11000;483;140;14420;13800;166223
8034;Campinas;164;3;2;2;-;aceita;sem mobilha;0;2100;293;32;2425;2100;25525
8035;São Paulo;240;3;3;2;-;aceita;sem mobilha;0;4500;250;68;4818;4500;54318
8036;Campinas;64;2;1;1;10;aceita;sem mobilha;540;820;122;11;1493;1360;16453
8037;São Paulo;89;2;3;1;-;aceita;mobilhado;360;5700;204;73;6337;6060;72997
8038;Campinas;120;3;3;2;4;não aceita;sem mobilha;400;1850;0;24;2274;2250;27024
8039;São Paulo;69;2;2;1;11;não aceita;mobilhado;1000;4100;234;52;5386;5100;61486
8040;São Paulo;140;3;4;2;2;aceita;sem mobilha;1400;2500;517;32;4449;3900;47349
8041;São Paulo;103;2;1;0;-;aceita;sem mobilha;0;1300;80;20;1400;1300;15700
8042;São Paulo;82;2;2;0;15;não aceita;sem mobilha;680;2800;135;36;3651;3480;41931
8043;São Paulo;30;1;1;0;4;aceita;sem mobilha;415;1585;30;21;2051;2000;24051
8044;Campinas;60;2;1;1;16;não aceita;sem mobilha;300;1400;60;18;1778;1700;20478
8045;São Paulo;162;3;2;2;7;aceita;mobilhado;1250;8000;42;102;9394;9250;111144
8046;São Paulo;59;2;1;1;8;aceita;sem mobilha;0;3000;0;39;3039;3000;36039
8047;São Paulo;230;3;3;3;6;não aceita;sem mobilha;2100;10500;792;134;13530;12600;152126
8048;São Paulo;110;3;2;1;14;não aceita;sem mobilha;950;4500;0;58;5508;5450;65458
8049;Campinas;210;3;3;3;7;aceita;sem mobilha;1900;2300;459;30;4689;4200;50889
8050;São Paulo;218;3;2;2;6;não aceita;sem mobilha;2000;7800;550;99;10450;9800;118249
8051;Campinas;50;1;1;1;2;não aceita;sem mobilha;718;1600;13;21;2352;2318;27850
8052;Belo Horizonte;115;3;3;2;6;aceita;sem mobilha;700;1920;209;26;2855;2620;31675
8053;São Paulo;100;2;2;0;1;aceita;sem mobilha;900;2000;63;26;2989;2900;34889
8054;São Paulo;230;3;4;4;6;aceita;sem mobilha;2100;5000;0;64;7164;7100;85264
8055;Rio de Janeiro;25;1;1;0;-;aceita;sem mobilha;50;700;0;10;760;750;9010
8056;São Paulo;280;3;4;2;-;não aceita;mobilhado;2000;15000;684;226;17910;17000;204910
8057;São Paulo;390;3;4;4;10;não aceita;sem mobilha;2710;9000;2682;115;14510;11710;143317
8058;São Paulo;60;2;2;2;20;aceita;sem mobilha;450;2872;238;37;3597;3322;40139
8059;São Paulo;150;3;2;2;16;aceita;sem mobilha;1700;5000;484;64;7248;6700;80948
8060;Rio de Janeiro;60;2;1;1;8;não aceita;sem mobilha;560;1000;500;13;2073;1560;19233
8061;São Paulo;22;1;1;0;-;não aceita;sem mobilha;250;1080;14;14;1358;1330;15988
8062;Rio de Janeiro;30;1;1;1;2;aceita;sem mobilha;570;850;70;11;1501;1420;17121
8063;São Paulo;49;2;2;1;8;aceita;sem mobilha;500;1550;100;20;2170;2050;24720
8064;São Paulo;230;3;4;3;7;aceita;sem mobilha;3500;4700;834;60;9094;8200;99294
8065;Rio de Janeiro;200;3;4;2;11;aceita;mobilhado;2100;8000;600;104;10800;10100;121904
8066;Belo Horizonte;167;4;4;3;5;aceita;sem mobilha;2000;4600;642;62;7304;6600;79904
8067;Belo Horizonte;420;4;6;5;14;não aceita;sem mobilha;2000;15000;167;200;17370;17000;204367
8068;Porto Alegre;98;2;1;0;3;aceita;mobilhado;477;1800;92;27;2396;2277;27443
8069;Belo Horizonte;80;3;1;1;12;aceita;sem mobilha;554;1300;69;18;1941;1854;22335
8070;Campinas;30;1;1;0;15;aceita;sem mobilha;280;500;10;7;797;780;9377
8071;São Paulo;296;4;5;5;4;aceita;mobilhado;4300;12900;2105;164;19470;17200;208669
8072;Rio de Janeiro;70;2;1;0;3;não aceita;sem mobilha;800;1100;42;15;1957;1900;22857
8073;Rio de Janeiro;160;2;2;2;1;aceita;mobilhado;2400;7500;250;97;10250;9900;119147
8074;São Paulo;73;2;2;1;11;aceita;sem mobilha;700;1250;150;16;2116;1950;23566
8075;Rio de Janeiro;15;1;1;0;-;aceita;sem mobilha;50;700;0;10;760;750;9010
8076;São Paulo;174;3;1;1;-;aceita;sem mobilha;0;3300;236;50;3586;3300;39886
8077;Porto Alegre;54;1;1;1;6;aceita;sem mobilha;450;1200;42;18;1710;1650;19860
8078;São Paulo;50;1;1;1;10;não aceita;mobilhado;1300;8800;250;112;10460;10100;121562
8079;São Paulo;240;3;3;3;8;aceita;sem mobilha;2999;10500;417;134;14050;13499;162539
8080;Belo Horizonte;260;4;4;2;-;aceita;sem mobilha;0;15000;203;246;15450;15000;180449
8081;São Paulo;210;3;4;4;2;não aceita;sem mobilha;1990;6375;625;81;9071;8365;101086
8082;São Paulo;119;3;4;3;14;aceita;sem mobilha;800;3680;30;47;4557;4480;53837
8083;Belo Horizonte;150;3;1;3;-;aceita;sem mobilha;0;3500;750;58;4308;3500;42808
8084;São Paulo;750;4;7;8;-;aceita;mobilhado;0;15000;1667;226;16890;15000;181893
8085;São Paulo;67;2;1;1;13;não aceita;sem mobilha;626;1800;40;23;2489;2426;29175
8086;Rio de Janeiro;50;1;1;0;1;aceita;sem mobilha;640;1428;81;6;2155;2068;24903
8087;Rio de Janeiro;36;1;1;0;5;aceita;sem mobilha;487;2500;55;33;3075;2987;35932
8088;São Paulo;120;3;2;2;5;aceita;sem mobilha;1500;1900;377;25;3802;3400;41202
8089;Porto Alegre;65;3;1;1;1;aceita;sem mobilha;400;850;31;13;1294;1250;15044
8090;Belo Horizonte;240;4;4;2;3;aceita;mobilhado;590;8000;150;107;8847;8590;103337
8091;São Paulo;93;2;2;2;3;aceita;sem mobilha;800;3500;200;45;4545;4300;51845
8092;Porto Alegre;35;1;1;0;1;aceita;sem mobilha;120;1170;92;18;1400;1290;15590
8093;São Paulo;51;2;1;1;9;não aceita;sem mobilha;450;2200;109;28;2787;2650;31937
8094;São Paulo;85;2;2;1;14;aceita;sem mobilha;709;3300;94;42;4145;4009;48244
8095;Campinas;57;1;2;1;12;aceita;sem mobilha;391;2961;111;38;3501;3352;40373
8096;Campinas;50;1;1;0;8;aceita;sem mobilha;300;550;0;3;853;850;10203
8097;São Paulo;75;2;1;0;-;aceita;sem mobilha;0;1500;325;23;1848;1500;18348
8098;São Paulo;161;3;3;3;17;aceita;sem mobilha;2700;10000;667;127;13490;12700;153194
8099;Campinas;210;4;4;3;7;não aceita;sem mobilha;1964;3600;495;46;6105;5564;67309
8100;São Paulo;350;3;2;4;-;aceita;sem mobilha;0;12500;1334;188;14020;12500;151522
8101;Porto Alegre;112;3;3;2;1;aceita;sem mobilha;1000;3000;234;44;4278;4000;48278
8102;Campinas;78;3;2;2;3;aceita;mobilhado;755;1900;37;25;2717;2655;31922
8103;São Paulo;54;2;2;1;6;aceita;sem mobilha;954;2800;199;36;3989;3754;45283
8104;Campinas;25;1;1;0;3;não aceita;sem mobilha;200;1020;0;4;1224;1220;14644
8105;São Paulo;62;2;2;0;3;não aceita;sem mobilha;600;2000;0;26;2626;2600;31226
8106;São Paulo;117;2;2;1;11;não aceita;mobilhado;630;7130;150;91;8001;7760;93361
8107;São Paulo;120;4;2;2;-;aceita;sem mobilha;0;3500;10;53;3563;3500;42063
8108;Campinas;113;3;2;2;11;aceita;sem mobilha;700;1450;79;19;2248;2150;25898
8109;São Paulo;65;2;1;1;3;aceita;sem mobilha;700;2306;0;30;3036;3006;36102
8110;Campinas;70;2;1;1;-;não aceita;sem mobilha;341;1100;60;14;1515;1441;17366
8111;Porto Alegre;67;3;2;2;7;aceita;sem mobilha;400;2000;50;30;2480;2400;28880
8112;São Paulo;651;7;7;8;-;aceita;sem mobilha;0;8500;1595;128;10220;8500;103723
8113;São Paulo;180;3;1;5;-;aceita;sem mobilha;0;6500;567;98;7165;6500;78665
8114;São Paulo;30;1;1;0;-;aceita;sem mobilha;0;1000;21;13;1034;1000;12034
8115;São Paulo;100;3;3;3;5;aceita;sem mobilha;1000;3500;417;45;4962;4500;54462
8116;São Paulo;45;1;1;0;11;aceita;sem mobilha;325;1450;55;19;1849;1775;21374
8117;São Paulo;400;4;4;4;-;aceita;sem mobilha;0;8500;1250;128;9878;8500;103378
8118;São Paulo;100;3;1;0;1;aceita;sem mobilha;0;2200;139;28;2367;2200;26567
8119;Porto Alegre;111;2;2;0;15;aceita;sem mobilha;850;1612;100;24;2586;2462;29668
8120;Belo Horizonte;70;2;2;2;5;aceita;sem mobilha;610;2100;240;28;2978;2710;32788
8121;Porto Alegre;179;3;2;2;-;aceita;mobilhado;0;3700;67;66;3833;3700;44533
8122;Rio de Janeiro;140;3;2;2;1;aceita;sem mobilha;1800;5700;579;74;8153;7500;90653
8123;São Paulo;260;3;4;2;-;aceita;sem mobilha;0;7609;876;115;8600;7609;92299
8124;Belo Horizonte;268;4;2;4;1;não aceita;sem mobilha;975;3000;381;40;4396;3975;48121
8125;Belo Horizonte;70;3;2;1;2;aceita;sem mobilha;230;1300;59;18;1607;1530;18437
8126;Rio de Janeiro;50;1;1;1;2;aceita;sem mobilha;1060;1500;323;20;2903;2560;31063
8127;Belo Horizonte;470;5;4;2;-;aceita;sem mobilha;0;6000;808;99;6907;6000;72907
8128;São Paulo;142;3;4;3;13;aceita;sem mobilha;1900;4600;3509;33;10040;6500;81542
8129;São Paulo;80;1;2;2;5;aceita;sem mobilha;0;6522;0;83;6605;6522;78347
8130;São Paulo;100;3;3;3;-;não aceita;sem mobilha;0;2500;246;38;2784;2500;30284
8131;Porto Alegre;47;1;1;1;1;não aceita;mobilhado;400;2200;0;33;2633;2600;31233
8132;Campinas;180;3;4;4;-;aceita;sem mobilha;0;3230;250;49;3529;3230;39059
8133;Porto Alegre;180;4;1;1;-;aceita;sem mobilha;1;4480;375;80;4936;4481;54227
8134;São Paulo;72;1;1;1;-;não aceita;mobilhado;670;4000;175;51;4896;4670;56266
8135;São Paulo;90;2;2;1;-;aceita;sem mobilha;0;2200;0;34;2234;2200;26434
8136;Campinas;49;1;1;0;3;aceita;sem mobilha;417;583;23;8;1031;1000;12031
8137;Porto Alegre;282;4;2;4;-;aceita;mobilhado;0;5000;355;89;5444;5000;60444
8138;São Paulo;114;4;4;2;6;aceita;sem mobilha;1115;2530;321;33;3999;3645;44094
8139;São Paulo;170;3;3;2;8;aceita;sem mobilha;1800;7000;559;89;9448;8800;106248
8140;São Paulo;200;3;2;3;-;aceita;sem mobilha;0;3600;251;55;3906;3600;43506
8141;São Paulo;130;4;4;3;2;aceita;sem mobilha;1160;3000;459;39;4658;4160;50418
8142;Belo Horizonte;300;3;4;4;-;aceita;sem mobilha;0;7500;350;123;7973;7500;90473
8143;São Paulo;40;1;2;1;28;não aceita;mobilhado;1935;4200;318;54;6507;6135;73992
8144;São Paulo;45;1;1;0;2;não aceita;sem mobilha;150;750;0;10;910;900;10810
8145;São Paulo;245;3;5;4;3;aceita;mobilhado;2300;10000;1218;127;13650;12300;148945
8146;São Paulo;155;2;3;2;-;aceita;sem mobilha;0;4000;377;61;4438;4000;48438
8147;Belo Horizonte;300;3;3;4;-;aceita;sem mobilha;0;3500;431;58;3989;3500;42489
8148;Campinas;438;5;4;0;-;aceita;sem mobilha;0;7735;417;117;8269;7735;93354
8149;Rio de Janeiro;30;1;1;0;4;não aceita;mobilhado;380;2200;59;29;2668;2580;31048
8150;São Paulo;125;2;2;1;-;aceita;mobilhado;0;2800;392;43;3235;2800;34035
8151;Campinas;76;1;2;0;1;aceita;sem mobilha;300;700;100;9;1109;1000;12109
8152;São Paulo;58;2;2;2;2;aceita;sem mobilha;833;2030;189;26;3078;2863;34571
8153;São Paulo;140;3;2;2;-;aceita;sem mobilha;0;2600;45;40;2685;2600;31285
8154;São Paulo;49;2;1;1;1;aceita;sem mobilha;415;1368;0;18;1801;1783;21414
8155;Porto Alegre;45;1;1;0;11;aceita;sem mobilha;750;900;658;14;2322;1650;20472
8156;São Paulo;350;4;6;4;-;aceita;sem mobilha;0;10000;896;151;11050;10000;121047
8157;São Paulo;35;1;1;0;4;aceita;sem mobilha;320;1700;0;22;2042;2020;24262
8158;Rio de Janeiro;100;3;1;1;-;aceita;sem mobilha;495;1700;17;22;2234;2195;26379
8159;Porto Alegre;86;2;2;2;3;aceita;sem mobilha;1000;2950;120;44;4114;3950;47564
8160;Campinas;58;1;1;1;6;aceita;sem mobilha;676;3300;108;42;4126;3976;47862
8161;São Paulo;40;1;1;0;-;não aceita;sem mobilha;0;780;17;12;809;780;9389
8162;Porto Alegre;62;3;2;1;2;aceita;mobilhado;550;2100;50;31;2731;2650;31881
8163;Belo Horizonte;95;3;2;2;10;aceita;sem mobilha;657;2300;143;31;3131;2957;35658
8164;São Paulo;52;1;1;1;11;aceita;sem mobilha;730;2100;38;27;2895;2830;34025
8165;São Paulo;80;2;1;0;-;aceita;sem mobilha;0;1280;59;20;1359;1280;15439
8166;Belo Horizonte;300;4;4;4;-;aceita;sem mobilha;0;6500;428;107;7035;6500;78535
8167;São Paulo;70;2;2;0;6;aceita;sem mobilha;570;1390;212;18;2190;1960;23750
8168;Porto Alegre;130;3;3;1;6;aceita;sem mobilha;1000;4900;167;72;6139;5900;71039
8169;Campinas;39;1;1;1;1;não aceita;mobilhado;573;1128;32;15;1748;1701;20459
8170;Belo Horizonte;73;2;1;1;11;aceita;mobilhado;600;4500;40;60;5200;5100;61300
8171;São Paulo;68;2;1;1;15;aceita;sem mobilha;520;2280;9;29;2838;2800;33638
8172;Campinas;80;2;1;0;-;aceita;sem mobilha;0;1200;0;19;1219;1200;14419
8173;São Paulo;30;1;1;1;15;aceita;sem mobilha;500;1560;61;20;2141;2060;24801
8174;Rio de Janeiro;450;4;5;1;-;aceita;sem mobilha;0;3300;417;51;3768;3300;40068
8175;São Paulo;270;3;4;2;11;aceita;sem mobilha;3158;15000;1100;191;19450;18158;219187
8176;São Paulo;146;3;4;4;15;aceita;sem mobilha;1510;6000;631;77;8218;7510;90828
8177;Rio de Janeiro;100;3;1;0;2;aceita;sem mobilha;0;2000;209;26;2235;2000;24235
8178;Campinas;60;2;1;1;2;aceita;sem mobilha;314;1000;0;13;1327;1314;15781
8179;São Paulo;55;2;1;1;7;não aceita;sem mobilha;784;3500;135;45;4464;4284;51588
8180;Rio de Janeiro;140;4;2;1;1;não aceita;sem mobilha;1700;6000;380;78;8158;7700;92858
8181;Campinas;40;1;1;1;6;aceita;sem mobilha;600;650;35;9;1294;1250;15044
8182;Belo Horizonte;20;1;1;1;-;aceita;mobilhado;0;1100;0;15;1115;1100;13215
8183;Porto Alegre;30;1;1;0;-;não aceita;sem mobilha;0;500;0;9;509;500;6009
8184;São Paulo;68;2;2;2;12;não aceita;sem mobilha;2600;2300;0;30;4930;4900;58830
8185;Campinas;35;1;1;1;11;aceita;sem mobilha;350;966;25;13;1354;1316;15830
8186;São Paulo;190;4;4;3;11;aceita;mobilhado;1780;6900;0;88;8768;8680;104248
8187;São Paulo;700;4;10;0;-;aceita;sem mobilha;0;15000;8750;226;23980;15000;188976
8188;Rio de Janeiro;45;1;1;0;1;aceita;sem mobilha;0;1200;78;16;1294;1200;14494
8189;São Paulo;311;3;6;4;23;não aceita;mobilhado;1800;12500;1084;159;15540;14300;172843
8190;Porto Alegre;110;2;1;0;-;aceita;sem mobilha;0;1070;1160;20;2250;1070;14020
8191;Campinas;330;3;3;2;10;não aceita;sem mobilha;2700;5100;650;65;8515;7800;94315
8192;São Paulo;75;3;1;1;2;aceita;mobilhado;770;1900;85;25;2780;2670;32150
8193;Porto Alegre;50;1;1;0;2;aceita;mobilhado;300;1600;42;24;1966;1900;22866
8194;São Paulo;460;4;4;6;-;aceita;sem mobilha;0;5280;667;80;6027;5280;64107
8195;Porto Alegre;52;2;1;0;4;aceita;sem mobilha;401;730;21;11;1163;1131;13604
8196;São Paulo;155;3;4;2;14;aceita;sem mobilha;1400;13100;409;166;15080;14500;174575
8197;Belo Horizonte;55;2;1;1;1;aceita;sem mobilha;200;840;77;12;1129;1040;12569
8198;Rio de Janeiro;74;2;1;0;11;aceita;sem mobilha;1154;1900;189;25;3268;3054;36862
8199;São Paulo;26;1;1;1;3;aceita;mobilhado;402;1396;0;18;1816;1798;21594
8200;São Paulo;80;2;1;0;1;aceita;mobilhado;500;3000;0;39;3539;3500;42039
8201;São Paulo;450;4;5;5;-;não aceita;sem mobilha;0;12000;1875;181;14060;12000;146056
8202;Campinas;150;2;2;1;-;aceita;sem mobilha;0;1060;167;16;1243;1060;12903
8203;São Paulo;135;3;2;2;9;aceita;sem mobilha;1836;4200;543;54;6633;6036;73029
8204;Belo Horizonte;140;4;3;4;9;aceita;sem mobilha;500;3500;230;47;4277;4000;48277
8205;Campinas;76;3;1;1;2;aceita;sem mobilha;480;1300;92;17;1889;1780;21469
8206;São Paulo;450;4;3;6;-;aceita;sem mobilha;0;11900;1084;179;13160;11900;144063
8207;Belo Horizonte;38;1;1;0;2;não aceita;sem mobilha;0;1300;0;18;1318;1300;15618
8208;São Paulo;56;2;2;1;4;aceita;sem mobilha;500;2000;0;26;2526;2500;30026
8209;Rio de Janeiro;30;1;1;0;8;não aceita;mobilhado;445;1512;0;7;1964;1957;23491
8210;São Paulo;260;2;2;2;-;não aceita;sem mobilha;0;3800;567;58;4425;3800;46225
8211;Porto Alegre;77;3;2;1;2;não aceita;sem mobilha;284;1260;20;19;1583;1544;18567
8212;Rio de Janeiro;290;4;3;1;6;aceita;sem mobilha;2500;7000;459;91;10050;9500;114550
8213;Belo Horizonte;22;1;1;1;1;não aceita;mobilhado;0;1500;0;20;1520;1500;18020
8214;Rio de Janeiro;47;2;1;0;4;aceita;sem mobilha;578;1500;0;20;2098;2078;24956
8215;São Paulo;80;2;2;1;7;aceita;sem mobilha;1363;3700;96;47;5206;5063;60899
8216;São Paulo;244;4;3;4;2;aceita;mobilhado;2375;4774;1033;61;8243;7149;86882
8217;Campinas;45;1;1;0;9;aceita;sem mobilha;670;800;39;11;1520;1470;17690
8218;Belo Horizonte;85;3;2;2;3;não aceita;sem mobilha;686;1700;160;23;2569;2386;28815
8219;São Paulo;98;3;2;2;3;aceita;sem mobilha;1400;2000;383;26;3809;3400;41209
8220;São Paulo;100;2;1;1;-;não aceita;sem mobilha;0;1450;0;22;1472;1450;17422
8221;Rio de Janeiro;120;3;2;0;2;aceita;sem mobilha;1300;3700;331;48;5379;5000;60379
8222;São Paulo;190;3;2;1;8;aceita;mobilhado;2180;4500;150;58;6888;6680;80368
8223;São Paulo;500;4;4;4;-;aceita;sem mobilha;3200;10200;1800;154;15350;13400;162754
8224;São Paulo;105;3;2;2;1;aceita;mobilhado;1544;7800;488;99;9931;9344;112715
8225;Campinas;50;2;1;1;3;aceita;sem mobilha;613;1000;20;13;1646;1613;19389
8226;São Paulo;126;4;3;2;4;não aceita;sem mobilha;1500;4500;417;58;6475;6000;72475
8227;São Paulo;74;2;3;1;2;aceita;sem mobilha;1180;4500;105;58;5843;5680;68323
8228;Rio de Janeiro;130;3;3;2;3;aceita;mobilhado;2500;7000;500;91;10090;9500;114591
8229;São Paulo;140;2;1;1;6;não aceita;mobilhado;2000;5500;300;70;7870;7500;90370
8230;Porto Alegre;160;3;2;2;-;aceita;sem mobilha;100;2000;75;36;2211;2100;25311
8231;São Paulo;250;3;4;3;4;aceita;sem mobilha;3570;14000;1256;178;19000;17570;212274
8232;Rio de Janeiro;90;2;2;1;4;aceita;sem mobilha;1090;900;144;12;2146;1990;24036
8233;São Paulo;35;1;1;0;6;aceita;mobilhado;420;1660;0;22;2102;2080;24982
8234;Rio de Janeiro;144;4;2;2;4;aceita;sem mobilha;2000;3590;378;47;6015;5590;67505
8235;Rio de Janeiro;170;3;1;1;10;aceita;mobilhado;600;2480;100;32;3212;3080;37092
8236;Rio de Janeiro;65;2;1;1;7;aceita;sem mobilha;750;1400;59;19;2228;2150;25878
8237;Porto Alegre;80;2;1;0;-;aceita;sem mobilha;0;990;0;18;1008;990;11898
8238;São Paulo;20;1;1;0;4;não aceita;mobilhado;150;3142;67;40;3399;3292;39611
8239;São Paulo;79;2;2;2;18;não aceita;mobilhado;800;5900;280;75;7055;6700;80755
8240;São Paulo;70;2;1;0;1;aceita;sem mobilha;0;2448;159;32;2639;2448;29567
8241;São Paulo;30;1;1;0;9;não aceita;mobilhado;423;2350;46;30;2849;2773;33352
8242;São Paulo;250;3;5;3;4;aceita;sem mobilha;3500;6800;0;87;10390;10300;123687
8243;Porto Alegre;50;1;1;0;2;aceita;mobilhado;300;930;25;14;1269;1230;14799
8244;São Paulo;116;3;2;2;5;aceita;sem mobilha;1726;2300;568;30;4624;4026;48910
8245;São Paulo;216;4;3;4;28;não aceita;sem mobilha;1868;5000;657;64;7589;6868;83137
8246;São Paulo;290;3;5;4;8;aceita;mobilhado;3580;7000;0;89;10670;10580;127049
8247;São Paulo;300;5;6;6;-;aceita;sem mobilha;0;9500;2084;143;11730;9500;116227
8248;São Paulo;245;4;3;4;8;aceita;sem mobilha;3450;6000;1667;77;11190;9450;115144
8249;Belo Horizonte;150;4;2;3;18;não aceita;mobilhado;1300;4900;480;66;6746;6200;74946
8250;São Paulo;130;3;4;2;11;não aceita;sem mobilha;1550;2318;411;30;4309;3868;46857
8251;São Paulo;112;1;2;3;-;aceita;sem mobilha;0;2878;84;44;3006;2878;34664
8252;São Paulo;78;2;2;1;8;aceita;sem mobilha;586;1680;63;22;2351;2266;27277
8253;Rio de Janeiro;15;1;1;0;-;aceita;sem mobilha;50;700;0;10;760;750;9010
8254;São Paulo;84;2;1;2;11;não aceita;mobilhado;800;4000;240;51;5091;4800;57891
8255;Rio de Janeiro;23;1;1;0;8;não aceita;sem mobilha;569;2000;25;26;2620;2569;30879
8256;Belo Horizonte;174;3;1;0;-;não aceita;sem mobilha;0;5500;120;91;5711;5500;66211
8257;São Paulo;104;1;3;2;14;não aceita;sem mobilha;2000;4200;500;54;6754;6200;74954
8258;Porto Alegre;63;1;1;0;3;aceita;sem mobilha;340;900;38;14;1292;1240;14932
8259;São Paulo;51;2;1;1;7;aceita;sem mobilha;468;1100;75;14;1657;1568;18905
8260;Rio de Janeiro;70;2;2;1;4;aceita;sem mobilha;1500;3460;332;45;5337;4960;59897
8261;Belo Horizonte;150;4;4;2;12;aceita;sem mobilha;1218;4000;501;54;5773;5218;63171
8262;Rio de Janeiro;90;2;2;1;8;aceita;sem mobilha;800;2156;90;9;3055;2956;35571
8263;Rio de Janeiro;80;2;2;1;2;aceita;mobilhado;4100;7500;584;97;12280;11600;139881
